Institution_Symbol	Item_Holding_Location	Item_Permanent_Shelving_Location	Item_Temporary_Shelving_Location	Item_Type	Item_Call_Number	Item_Enumeration_and_Chronology	Author_Name	Title	LHR_Item_Materials_Specified	Material_Format	OCLC_Number	Title_ISBN	Publication_Date	Item_Barcode	LHR_Item_Cost	LHR_Item_Nonpublic_Note	LHR_Item_Public_Note	Item_Status_Current_Status	Item_Due_Date	Item_Issued_Count	Issued_Count_YTD	Item_Soft_Issued_Count	Item_Soft_Issued_Count_YTD	Item_Last_Issued_Date	Item_Last_Inventoried_Date	Item_Deleted_Date	LHR_Date_Entered_on_File	LHR_Item_Acquired_Date	Language_Code	LHR_Item_Call_Number_Normalized
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			England, Kim	Who will mind the baby? : geographies of childcare and working mothers		otr	0			PLEB-769				AVAILABLE		1	0	0	0	2025-08-05					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Samuels, David	Putting a song on top of it : expression and identity on the San Carlos Apache Reservation		otr	0			PLEB-77				AVAILABLE		1	0	0	0	2024-08-30					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Smiley, CalvinJohn	Purgatory citizenship : reentry, race, and abolition		otr	0			PLEB-770				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Patton, Stacey	Spare the kids : why whupping children won't save Black America		otr	0			PLEB-771				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Collins, Jane-Marie, author.	Emancipatory narratives and enslaved motherhood : Bahia, Brazil, c.1830-1888 /		otr	0			PLEB-772				AVAILABLE		1	0	0	0	2025-07-23					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Evans, Shannon	The mystics would like a word : six women who met God and found a spirituality for today		otr	0			PLEB-773				AVAILABLE		1	0	0	0	2025-07-31					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Robins, Garry	Doing social network research : network-based research design for social scientists		otr	0			PLEB-774				AVAILABLE		1	0	0	0	2025-07-29					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			De La Torre, Miguel	Burying White privilege : resurrecting a badass Christianity		otr	0			PLEB-775				AVAILABLE		1	0	0	0	2025-07-31					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Falola, Toyin	Èṣù : Yoruba god, power, and the imaginative frontiers		otr	0			PLEB-776				AVAILABLE		1	0	0	0	2025-07-29					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Yamanaka Yutaka	Eiga monogatari		otr	0			PLEB-777				AVAILABLE		1	0	0	0	2025-07-28					otr	
